"position","depth","quality","relative_percentage"
780,96,58.1,0.0108
781,92,56.2,0.0112
782,92,59.6,0.0112
783,89,58.1,0.0116
784,102,59,0
785,106,57.5,0.0098
786,108,55.6,0.0291
787,108,56.1,0.0097
788,108,58.5,0.0097
789,109,58.7,0
790,109,57,0.0096
791,109,58.7,0
792,109,57.8,0.0194
793,104,62.1,0.0102
794,104,56.5,0.0102
795,103,57.6,0
796,103,58.9,0
797,106,57.9,0.01
798,105,56.8,0.0101
799,105,58.8,0
800,105,57.4,0.0101
801,106,58.4,0
802,108,63.2,0
803,111,58.8,0
804,111,58.8,0
805,111,57.6,0.0096
806,111,58.7,0.0096
807,119,59.4,0
808,118,57.9,0.0091
809,118,57,0
810,118,58.9,0
811,119,59.5,0.009
812,119,58.3,0
813,118,62.6,0
814,119,58,0.009
815,119,56.9,0
816,112,58,0
817,113,58.2,0
818,112,58.2,0.0096
819,113,58.7,0.0095
820,112,56.4,0.0288
821,113,56.1,0.019
822,112,58.8,0.0095
823,109,61.2,0
824,109,56.6,0.0196
825,110,57.4,0.0097
826,111,56.4,0.0291
827,109,58.2,0
828,109,57,0
829,110,57.7,0.0294
830,109,57.9,0
831,109,56.2,0
832,109,58.1,0
833,109,55,0.0198
834,109,56.4,0
835,109,57.3,0.0099
836,109,62.1,0
837,109,56.9,0.0099
838,105,59.5,0
839,105,59.2,0
840,105,57.2,0.0103
841,106,56.2,0.0204
842,106,58.4,0.0204
843,106,55.4,0
844,107,56.9,0
845,106,55.1,0.0102
846,106,58,0
847,109,55.8,0
848,109,56,0
849,110,58.5,0
850,110,57.2,0
851,108,58.4,0
852,104,58.1,0
853,103,57,0
854,103,58,0
855,103,57.3,0
856,102,56.3,0.0211
857,102,58.7,0.0105
858,102,57.6,0
859,104,58.6,0
860,104,57.3,0
861,106,55.8,0.0102
862,103,58,0
863,104,60,0
864,104,57.6,0
865,101,59.8,0
866,101,57.8,0
867,102,57.7,0.0211
868,101,57.3,0
869,103,55.8,0.0208
870,102,55.6,0.0316
871,102,56.3,0
872,102,55.3,0.0105
873,102,55.7,0.0211
874,103,54.3,0.0104
875,101,57,0.0105
876,102,56.7,0.0208
877,102,57.3,0.0104
878,101,55.3,0
879,101,57.1,0.0105
880,101,56.6,0.0105
881,102,56.6,0
882,102,58.2,0.0104
883,103,58.1,0
884,103,56.8,0.0208
885,103,55.6,0
886,103,55.1,0.0104
887,102,56,0.0105
888,101,56.9,0
889,101,57.2,0
890,101,56.9,0.0213
891,101,57,0
892,100,56.2,0.0215
893,101,57.4,0
894,101,55.5,0
895,101,55,0.0319
896,102,58.3,0.0319
897,107,56.1,0
898,107,56.5,0
899,107,55.3,0.0204
900,107,59,0
901,109,57.9,0
902,106,57.3,0.0208
903,106,57.1,0
904,107,58.7,0.0103
905,107,57.4,0
906,107,56.2,0
907,107,57,0.0206
908,107,56.4,0
909,113,55.6,0.0099
910,112,57.5,0
911,113,53.6,0.0198
912,115,58.5,0
913,115,57.6,0.0098
914,115,58.6,0
915,111,57,0.0103
916,111,57.4,0
917,109,57.3,0.0104
918,109,54.8,0.2105
919,106,55.9,0
920,107,55.5,0.0103
921,109,54.7,0
922,108,54.9,0.0103
923,106,54.7,0.0104
924,106,57.8,0
925,108,54.9,0.0101
926,111,56.1,0.0198
927,111,56.9,0.0294
928,111,57,0
929,111,55.6,0.01
930,110,58.9,0.01
931,110,57.3,0.24
932,110,56.9,0
933,110,58.3,0
934,91,56.6,0.0116
935,94,55.9,0
936,93,55.1,0
937,93,58.5,0.0227
938,96,54.4,0.0114
939,96,57.9,0.0114
940,97,57.2,0.0337
941,98,58,0
942,100,59.8,0
943,100,57.8,0
944,100,55.8,0
945,100,55.4,0.0109
946,97,56.3,0
947,99,59.4,0.011
948,99,59.8,0.011
949,99,56.4,0.011
950,100,56.5,0.0217
951,100,55.8,0
952,98,55.7,0.0111
953,95,59.6,0.0115
954,95,55.8,0
955,95,56.2,0.023
956,95,56.9,0.0115
957,90,56.5,0.25
958,90,56.7,0.0119
959,90,57.2,0.0119
960,91,56.2,0
961,90,55.4,0.0119
962,90,57.8,0
963,90,55.6,0
964,88,56.2,0.2073
965,88,58.5,0
966,89,59.9,0.012
967,87,57.7,0.2
968,87,57.1,0.0125
969,86,57,0.0253
970,85,57.7,0.2025
971,86,59.1,0
972,86,55.7,0.0125
973,86,58.5,0.2125
974,88,59.4,0
975,86,55.2,0
976,85,55.8,0.0253
977,85,55.9,0
978,85,56.7,0.0127
979,84,56.5,0.0253
980,84,58.4,0
981,84,58.3,0.038
982,84,60.3,0.0127
983,84,56.1,0.0253
984,84,57.8,0
985,84,58.3,0.0128
986,83,59.9,0
987,83,54.8,0.0128
988,83,61.4,0
989,83,61.6,0
990,79,56.6,0.0135
991,80,58.3,0.2432
992,83,59.9,0.0132
993,83,56.6,0
994,82,58.4,0
995,85,56.5,0.0127
996,86,58.5,0.025
997,84,57.6,0.0128
998,85,58.3,0
999,84,59.3,0
1000,84,56.2,0.0128
1001,84,54.9,0
1002,84,58.3,0
1003,84,56.6,0
1004,84,58.3,0
1005,84,57.7,0.0128
1006,82,56.6,0
1007,82,56.3,0
1008,82,59.7,0
1009,82,57.4,0.0132
1010,88,57.2,0.0123
1011,84,58.3,0
1012,84,55.3,0.0128
1013,83,58.3,0
1014,83,56.2,0.013
1015,83,59.1,0.013
1016,83,55.6,0
1017,83,56.9,0
1018,82,56.8,0
1019,79,61.6,0
1020,80,59,0.0133
1021,81,58.1,0.0132
1022,82,57.5,0
1023,81,58.3,0
1024,81,60.5,0
1025,80,60.2,0.0133
1026,80,56.3,0.0267
1027,79,61.2,0.2297
1028,79,61.3,0
1029,81,58,0
1030,81,64,0
1031,81,66.6,0
1032,80,58.7,0
1033,80,61.1,0
1034,80,61.3,0
1035,80,59,0.0135
1036,80,57.3,0.027
1037,81,58.2,0
1038,81,60.3,0
1039,82,59.2,0
1040,85,60.3,0
1041,85,66.9,0
1042,85,59.4,0.0128
1043,84,58.9,0.013
1044,84,61.4,0
1045,85,58.3,0.0128
1046,79,57.5,0.0278
1047,79,68.8,0
1048,79,61,0
1049,80,61.3,0
1050,84,59.8,0
1051,82,58,0
1052,82,60,0
1053,82,57.9,0
1054,81,61.2,0
1055,81,59.9,0
1056,81,56.4,0
1057,81,57.5,0.0135
1058,81,57.5,0.0135
1059,75,58.7,0
1060,75,57.8,0
1061,74,60.8,0
1062,74,61.3,0
1063,74,63.2,0
1064,76,58.6,0
1065,76,59.9,0
1066,80,67.5,0
1067,80,60.1,0
1068,77,58.1,0
1069,77,60.6,0
1070,74,58.8,0
1071,74,58.8,0
1072,74,58.5,0
1073,74,60.9,0
1074,72,59.7,0.0147
1075,69,60.9,0
1076,79,66.9,0
1077,78,57.2,0.0411
1078,79,59.7,0.0135
1079,81,60.9,0
1080,81,59.5,0.0132
1081,85,61.6,0
1082,88,59.3,0
1083,88,63.2,0
1084,88,61.7,0
1085,86,60.4,0.0123
1086,87,61.9,0
1087,84,57.1,0.0127
1088,83,56.6,0
1089,83,62.9,0
1090,80,57.4,0
1091,80,58.3,0.0132
1092,81,58.3,0.0132
1093,81,62.7,0
1094,82,60.1,0
1095,82,58.3,0
1096,82,60,0
1097,83,56.4,0.0128
1098,83,66.2,0
1099,83,62.9,0
1100,83,58.5,0
1101,84,59.9,0.0128
1102,85,61.7,0
1103,85,61.6,0
1104,85,60.1,0
1105,85,55.6,0.038
1106,85,60.1,0
1107,85,56.5,0
1108,85,56.1,0.2405
1109,84,58.5,0
1110,82,59.1,0
1111,84,63.7,0
1112,84,60.4,0.0128
1113,84,58.4,0.0128
1114,84,56.4,0.0256
1115,84,60.1,0.0128
1116,83,57.6,0
1117,83,57,0.0128
1118,88,59,0
1119,88,61,0
1120,90,57.2,0
1121,89,59.1,0
1122,90,58.3,0.012
1123,90,61.5,0
1124,90,56.8,0.012
1125,90,59.3,0.012
1126,91,60.1,0
1127,91,57,0
1128,92,57.5,0
1129,92,57.1,0
1130,92,58.4,0
1131,92,60.7,0
1132,96,61.8,0
1133,96,59.2,0
1134,96,62.2,0
1135,95,58.7,0
1136,95,56.8,0.0118
1137,95,58.8,0
1138,98,61.6,0
1139,101,57.1,0
1140,101,57.5,0
1141,98,59.5,0
1142,97,60.6,0
1143,97,59.8,0
1144,97,57.9,0.0116
1145,95,58.6,0
1146,94,59.3,0.0122
1147,93,62.3,0
1148,93,55.6,0.0125
1149,94,55.1,0
1150,93,58.4,0.25
1151,93,60,0.0125
1152,93,58.7,0
1153,94,58.5,0.2375
1154,94,57.9,0
1155,94,59.1,0.2469
1156,95,58.5,0
1157,95,59.9,0
1158,99,55.7,0.0116
1159,91,61,0
1160,91,57.7,0.0128
1161,91,59.4,0
1162,91,55.6,0
1163,93,57,0
1164,93,56,0.0127
1165,93,58.5,0
1166,93,56.4,0.0127
1167,92,57.8,0
1168,92,57.6,0.0128
1169,92,61.4,0.0128
1170,91,55.2,0.013
1171,90,56.3,0.0132
1172,92,57.6,0
1173,91,60.2,0.013
1174,91,54.8,0.2987
1175,92,55.2,0
1176,92,59.3,0.0128
1177,91,59.1,0.013
1178,92,54.7,0
1179,92,59.9,0
1180,91,56.4,0.013
1181,95,54.4,0.037
1182,95,59.9,0
1183,95,56.5,0
1184,99,57.4,0
1185,99,56.2,0.0118
1186,100,56.3,0
1187,98,59.1,0
1188,98,56.7,0
1189,98,56.9,0.0119
1190,95,57.1,0.0123
1191,95,57.1,0
1192,94,56.5,0
1193,94,55.6,0.0125
1194,95,56.5,0
1195,95,56,0.2593
1196,95,55,0.0123
1197,95,56.7,0
1198,95,56.6,0
1199,94,57.3,0.0125
1200,92,58.1,0
1201,92,57.5,0.0127
1202,92,57.1,0.0253
1203,90,56.4,0.0128
1204,89,58.9,0
1205,90,57,0.0128
1206,90,55.6,0
1207,90,59,0
1208,90,55.6,0.0128
1209,91,62.8,0
1210,93,59.2,0
1211,94,57.5,0.0123
1212,92,59.2,0.0123
1213,92,57.1,0.037
1214,89,58.9,0
1215,89,57.9,0
1216,86,57.8,0
1217,86,57.2,0.0132
1218,90,58.3,0.0127
1219,90,59,0
1220,90,58.3,0
1221,90,57.1,0.0127
1222,93,59,0
1223,93,59.3,0.0123
1224,93,55.9,0.0123
1225,93,55.1,0.0247
1226,85,59.8,0.0132
1227,84,60,0.0133
1228,83,58.8,0
1229,81,57.4,0
1230,80,56.1,0.0274
1231,77,57.1,0.2319
1232,75,57.2,0
1233,75,61.2,0.0145
1234,74,59.2,0
1235,75,55.9,0
1236,74,57.8,0
1237,74,58.3,0.0147
1238,75,57.7,0.029
1239,77,57.1,0
1240,76,58.7,0.2254
1241,75,57.3,0.0143
1242,75,56.6,0.0286
1243,74,56.8,0
